,net_value,ETH,USDC,uni_market_net_value,uni_market_base_uncollected,uni_market_quote_uncollected,uni_market_base_in_position,uni_market_quote_in_position,uni_market_position_count
2024-01-01 00:00:00,2280537.801744186252073808607,0,161481.9405609417428375962808,2119055.861183244509236212326,1.308447510417823298529106346,0E-33,978501.1677411475277760068173,499.9999999999999998866147255,1
2024-01-01 00:01:00,2280998.197960971570375066016,0,161481.9405609417428375962808,2119516.257400029827537469735,7.684363411245081185168599391,0.00007626124206965678907812247715,990718.1594355428640395871565,494.6453411023038957176475886,1
2024-01-01 00:02:00,2281229.928239971858152442525,0,161481.9405609417428375962808,2119747.987679030115314846244,12.41581075622095518327412105,0.0008825796546395203745036771756,996827.5715723880879157865778,491.9684132060249249601724856,1
2024-01-01 00:03:00,2282130.799789044027957492813,0,161481.9405609417428375962808,2120648.859228102285119896532,24.30352568944014762238887871,0.0009359556538706314410138556560,1021271.330142877590000608184,481.2633780135134191330572858,1
2024-01-01 00:04:00,2283120.826546036973762305661,0,161481.9405609417428375962808,2121638.885985095230924709380,36.33559864570132209520821481,0.001182199150919432375109077445,1048782.24765476507610063244,469.2253304022884593051961079,1
2024-01-01 00:05:00,2283769.038443287847258907822,0,161481.9405609417428375962808,2122287.097882346104421311541,45.74842938597399626316340845,0.001379223119745560988717777937,1067129.737918482399993349628,461.2029741630202225186704087,1
2024-01-01 00:06:00,2284302.101261644604959261561,0,161481.9405609417428375962808,2122820.160700702862121665280,54.18625527813978644184624419,0.001723233465579832399809593935,1082423.518121824502208120687,454.5195154166028399136574718,1
2024-01-01 00:07:00,2284929.217392525139560020442,0,161481.9405609417428375962808,2123447.276831583396722424161,62.34960060537730342486577123,0.001766488772690425727680233960,1100781.101775953699210919963,446.501570039628445766034258,1
2024-01-01 00:08:00,2284929.960852474897469290449,0,161481.9405609417428375962808,2123448.020291533154631694168,62.34960060537730342486577123,0.002091108473770102507491545977,1100781.101775953699210919963,446.501570039628445766034258,1
2024-01-01 00:09:00,2284930.061126015960529024453,0,161481.9405609417428375962808,2123448.120565074217691428172,62.38879390183137037769931759,0.002117778169633748238341569632,1100781.101775953699210919963,446.501570039628445766034258,1
2024-01-01 00:10:00,2285953.442615083969718343648,0,161481.9405609417428375962808,2124471.502054142226880747367,77.26203950133029750516865956,0.002445138338043500613871888403,1131389.314961853549086586038,433.1436716164883425465495338,1
2024-01-01 00:11:00,2286058.708032402477864303988,0,161481.9405609417428375962808,2124576.767471460735026707707,81.52360621852246152650491359,0.003254830453224749542571139376,1134450.978048388756936834276,431.8082490612853768517047124,1
2024-01-01 00:12:00,2286360.194607385853552387841,0,161481.9405609417428375962808,2124878.254046444110714791560,86.34302300796659213181993737,0.003691767595522048462969052778,1143636.88581457449876148872,427.8023819790464810930814506,1
2024-01-01 00:13:00,2286360.316513268526874202123,0,161481.9405609417428375962808,2124878.375952326784036605842,86.34302300796659213181993737,0.003744921353789750163073509522,1143636.88581457449876148872,427.8023819790464810930814506,1
2024-01-01 00:14:00,2286952.343642134726870077971,0,161481.9405609417428375962808,2125470.403081192984032481690,94.86920940148329692140083518,0.003820742726755964986258814930,1162012.835315473764913446655,419.7924501393424788640081369,1
2024-01-01 00:15:00,2286952.343642134726870077971,0,161481.9405609417428375962808,2125470.403081192984032481690,94.86920940148329692140083518,0.003820742726755964986258814930,1162012.835315473764913446655,419.7924501393424788640081369,1
2024-01-01 00:16:00,2286952.459816522169124036021,0,161481.9405609417428375962808,2125470.519255580426286439740,94.90845179566470493116904276,0.003854266719257258220843599298,1162012.835315473764913446655,419.7924501393424788640081369,1
2024-01-01 00:17:00,2286952.677749077878314528513,0,161481.9405609417428375962808,2125470.737188136135476932232,94.90845179566470493116904276,0.003949233313176265634620820364,1162012.835315473764913446655,419.7924501393424788640081369,1
2024-01-01 00:18:00,2286377.138512080854501655619,0,161481.9405609417428375962808,2124895.197951139111664059338,94.91628674788529069353937394,0.007341558861661951061716073524,1143636.88581457449876148872,427.8023819790464810930814506,1
2024-01-01 00:19:00,2286280.670690718852769913476,0,161481.9405609417428375962808,2124798.730129777109932317195,95.22873048628975350361565936,0.007986657555594967054650029390,1140574.763467095265402323412,429.1376042459024183448911422,1
2024-01-01 00:20:00,2286281.075460358837193475897,0,161481.9405609417428375962808,2124799.134899417094355879616,95.22873048628975350361565936,0.008163164042638396264748254891,1140574.763467095265402323412,429.1376042459024183448911422,1
2024-01-01 00:21:00,2285988.824968769361225950340,0,161481.9405609417428375962808,2124506.884407827618388354059,95.37723229863442721792378452,0.009977028157883295032420786277,1131389.314961853549086586038,433.1436716164883425465495338,1
2024-01-01 00:22:00,2285988.854820309304964284136,0,161481.9405609417428375962808,2124506.914259367562126687855,95.37723229863442721792378452,0.009990049320497462827391111509,1131389.314961853549086586038,433.1436716164883425465495338,1
2024-01-01 00:23:00,2286489.534243135708890440571,0,161481.9405609417428375962808,2125007.593682193966052844290,103.0008346281186202330815231,0.01010913530573942091572288070,1146699.161264343644518659075,426.4672264682972203578762825,1
2024-01-01 00:24:00,2286587.264347969113832415965,0,161481.9405609417428375962808,2125105.323787027370994819684,103.0595967697730134508590069,0.01011084292419454908114359225,1149761.589824057625801160311,425.1321377103170811199903743,1
2024-01-01 00:25:00,2286587.329547318644055226436,0,161481.9405609417428375962808,2125105.388986376901217630155,103.0987715308759422627106628,0.01012218797196836442495595761,1149761.589824057625801160311,425.1321377103170811199903743,1
2024-01-01 00:26:00,2286587.631921864360185542620,0,161481.9405609417428375962808,2125105.691360922617347946339,103.3112824590236797715763239,0.01016136273307129323680761349,1149761.589824057625801160311,425.1321377103170811199903743,1
2024-01-01 00:27:00,2285212.094876275712973829052,0,161481.9405609417428375962808,2123730.154315333970136232771,103.3779110629955935913933527,0.01832479265002010212921558168,1106901.520207032964170636468,443.8294560390661708839667971,1
2024-01-01 00:28:00,2284808.818960900078603070094,0,161481.9405609417428375962808,2123326.878399958335765473813,103.3779110629955935913933527,0.02084039894278780139989692005,1094661.295325519477673357212,449.173951251590776875589927,1
2024-01-01 00:29:00,2284507.926572802368874019284,0,161481.9405609417428375962808,2123025.986011860626036423003,105.6792275538966484531143587,0.02376288088784679412851564539,1085482.732979721894485018077,453.1830241493626033776292483,1
2024-01-01 00:30:00,2284508.156298593675685480570,0,161481.9405609417428375962808,2123026.215737651932847884289,105.7715216220756340873048723,0.02382291822527074703335856082,1085482.732979721894485018077,453.1830241493626033776292483,1
2024-01-01 00:31:00,2284508.742634567629482855531,0,161481.9405609417428375962808,2123026.802073625886645259250,106.0275330407565784529821405,0.02396722120229074561424586828,1085482.732979721894485018077,453.1830241493626033776292483,1
2024-01-01 00:32:00,2284509.286270002815305529994,0,161481.9405609417428375962808,2123027.345709061072467933713,106.0275330407565784529821405,0.02420470948603664305276072431,1085482.732979721894485018077,453.1830241493626033776292483,1
2024-01-01 00:33:00,2284405.916678945261919906817,0,161481.9405609417428375962808,2122923.976118003519082310536,106.0366665206417179351184315,0.02442652580594755340864231780,1082423.518121824502208120687,454.5195154166028399136574718,1
2024-01-01 00:34:00,2284406.788043480872756813266,0,161481.9405609417428375962808,2122924.847482539129919216985,106.0366665206417179351184315,0.02480722130254505658419500710,1082423.518121824502208120687,454.5195154166028399136574718,1
2024-01-01 00:35:00,2284406.996959553836466229619,0,161481.9405609417428375962808,2122925.056398612093628633338,106.2455825936054273514711969,0.02480722130254505658419500710,1082423.518121824502208120687,454.5195154166028399136574718,1
2024-01-01 00:36:00,2284407.946227992556169661261,0,161481.9405609417428375962808,2122926.005667050813332064980,106.9217711346933767386445266,0.02492652875997656490133047298,1082423.518121824502208120687,454.5195154166028399136574718,1
2024-01-01 00:37:00,2285034.257558010420367087898,0,161481.9405609417428375962808,2123552.316997068677529491617,114.3447625950390488527617464,0.02492772722827285594224099829,1100781.101775953699210919963,446.501570039628445766034258,1
2024-01-01 00:38:00,2285034.850324080015028115471,0,161481.9405609417428375962808,2123552.909763138272190519190,114.8542754489419192395978491,0.02496407839150712459885044710,1100781.101775953699210919963,446.501570039628445766034258,1
2024-01-01 00:39:00,2285956.663993850456860210714,0,161481.9405609417428375962808,2124474.723432908714022614433,128.0825027197558129566035964,0.02506185205499086340340474513,1128327.804946992388108228018,434.479160941149873654368957,1
2024-01-01 00:40:00,2285956.709075376504155199073,0,161481.9405609417428375962808,2124474.768514434761317602792,128.0825027197558129566035964,0.02508151846362677598066548334,1128327.804946992388108228018,434.479160941149873654368957,1
2024-01-01 00:41:00,2285956.996388637179263761761,0,161481.9405609417428375962808,2124475.055827695436426165480,128.3414008809328488883688198,0.02509391429418435182817285600,1128327.804946992388108228018,434.479160941149873654368957,1
2024-01-01 00:42:00,2285958.412835688629620796738,0,161481.9405609417428375962808,2124476.472274746886783200457,128.4534262425529511594593417,0.02566295647698083826774094101,1128327.804946992388108228018,434.479160941149873654368957,1
2024-01-01 00:43:00,2285859.125436845195561368073,0,161481.9405609417428375962808,2124377.184875903452723771792,128.4534262425529511594593417,0.02586265253422940294214732094,1125266.447996152264270363581,435.814717038608359645783256,1
2024-01-01 00:44:00,2285761.238714386285036308137,0,161481.9405609417428375962808,2124279.298153444542198711856,128.4548332292873342369202199,0.02680213648202301760009761947,1122205.244101680550463386243,437.1503399122023569067134683,1
2024-01-01 00:45:00,2285665.731217492437048637910,0,161481.9405609417428375962808,2124183.790656550694211041629,128.5741954834636903974037937,0.02885776358359206613423907068,1119144.193255925002180350103,438.486029565270588746726912,1
2024-01-01 00:46:00,2285665.904828535066905932169,0,161481.9405609417428375962808,2124183.964267593324068335888,128.5741954834636903974037937,0.02893352255631689354111318361,1119144.193255925002180350103,438.486029565270588746726912,1
2024-01-01 00:47:00,2285970.144109644915391072672,0,161481.9405609417428375962808,2124488.203548703172553476391,132.6875453992712156418276614,0.02893352255631689354111318361,1128327.804946992388108228018,434.479160941149873654368957,1
2024-01-01 00:48:00,2285970.351255607936957225981,0,161481.9405609417428375962808,2124488.410694666194119629700,132.7226248961527710342706745,0.02900858499834906408850546091,1128327.804946992388108228018,434.479160941149873654368957,1
