,tick,liquidity_net,liquidity_gross,liquidity_shape,liquidity,price,virtual_ratio,virtual_ratio_upper,ratio,ratio_upper,token0_underlying_virtual,token1_underlying_virtual,token0_underlying,token1_underlying
0,71680,-485625379345507683,485625379345507683,-485625379345507683,353396147585889667480138,1296.782692335492316484407723,1296.782692335492316484407723,1298.080058735680518557397396,1296.782692335492316484407723,1298.080058735680518557397396,0,6364323940629968986272.945655,0,6364.323940629968986272945655
1,71690,-6571432428179138118,6571432428179138118,-7057057807524645801,353389576153461488342020,1298.080058735680518557397396,1298.080058735680518557397396,1299.378723086239500133137616,1298.080058735680518557397396,1299.378723086239500133137616,0,6367388334748801744850.695713,0,6367.388334748801744850695713
2,71700,2198122726611237260250,4153852835219026748566,2191065668803712614449,355587698880072725602270,1299.378723086239500133137616,1299.378723086239500133137616,1300.678686685703865439286632,1299.378723086239500133137616,1300.678686685703865439286632,0,6410198340902619002178.644632,0,6410.198340902619002178644632
3,71710,98044446794816471598,98044446794816471598,2289110115598529086047,355685743326867542073868,1300.678686685703865439286632,1300.678686685703865439286632,1301.979950833907337804153679,1300.678686685703865439286632,1301.979950833907337804153679,0,6415172417511695271039.325229,0,6415.172417511695271039325229
4,71720,1074606660590134184479,1086408887614795683999,3363716776188663270526,356760349987457676258347,1301.979950833907337804153679,1301.979950833907337804153679,1303.282516831984059360559144,1301.979950833907337804153679,1303.282516831984059360559144,0,6437772017379715311409.304534,0,6437.772017379715311409304534
5,71730,-84800339906330535350957,84801919450192438342287,-81436623130141872080431,271960010081127140907390,1303.282516831984059360559144,1303.282516831984059360559144,1304.586385982369892049983622,1303.282516831984059360559144,1304.586385982369892049983622,0,4909996657920940383176.730727,0,4909.996657920940383176730727
6,71740,-33450501837526704393017,151272351477953350622541,-114887124967668576473448,238509508243600436514373,1304.586385982369892049983622,1304.586385982369892049983622,1305.891559588803719928306716,1304.586385982369892049983622,1305.891559588803719928306716,0,4308230999009413598587.221470,0,4308.23099900941359858722147
7,71750,102032772476027490421609,102032772476027490421609,-12854352491641086051839,340542280719627926935982,1305.891559588803719928306716,1305.891559588803719928306716,1307.198038956328752774437785,1305.891559588803719928306716,1307.198038956328752774437785,0,6154339653846231181763.302038,0,6154.339653846231181763302038
8,71760,8850053043008331955914,8851632586870234947244,-4004299448632754095925,349392333762636258891896,1307.198038956328752774437785,1307.198038956328752774437785,1308.505825391293831003142090,1307.198038956328752774437785,1308.505825391293831003142090,0,6317437131376730849681.599701,0,6317.437131376730849681599701
9,71770,119729811828245681825,257029697609638670613,-3884569636804508414100,349512063574464504573721,1308.505825391293831003142090,1308.505825391293831003142090,1309.814920201354731883367142,1308.505825391293831003142090,1309.814920201354731883367142,0,6322762424600008584416.356593,0,6322.762424600008584416356593
10,71780,-16001469119961882564944,16001469119961882564944,-19886038756766390979044,333510594454502622008777,1309.814920201354731883367142,1309.814920201354731883367142,1311.125324695475477063375329,1309.814920201354731883367142,1311.125324695475477063375329,0,6036309013959901573869.658337,0,6036.309013959901573869658337
11,71790,80420985015239664683,80420985015239664683,-19805617771751151314361,333591015439517861673460,1311.125324695475477063375329,1311.125324695475477063375329,1312.437040183929641403990215,1311.125324695475477063375329,1312.437040183929641403990215,0,6040784063791286664458.692122,0,6040.784063791286664458692122
12,71800,14534127183228413025932,14576805773659420734980,-5271490588522738288429,348125142622746274699392,1312.437040183929641403990215,1312.437040183929641403990215,1313.750067978301663121265226,1312.437040183929641403990215,1313.750067978301663121265226,0,6307125795073504154778.687408,0,6307.125795073504154778687408
13,71810,-132029707170655815719,137937623882535465677,-5403520295693394104148,347993112915575618883673,1313.750067978301663121265226,1313.750067978301663121265226,1315.064409391488155239884714,1313.750067978301663121265226,1315.064409391488155239884714,0,6307886756207377976483.031250,0,6307.88675620737797648303125
14,71820,291235215145248512363,291235215145248512363,-5112285080548145591785,348284348130720867396036,1315.064409391488155239884714,1315.064409391488155239884714,1316.380065737699218358608748,1315.064409391488155239884714,1316.380065737699218358608748,0,6316323036917753333350.772656,0,6316.323036917753333350772656
15,71830,-2147934470184436283,2147934470184436283,-5114433015018330028068,348282200196250682959753,1316.380065737699218358608748,1316.380065737699218358608748,1317.697038332459754729074237,1316.380065737699218358608748,1317.697038332459754729074237,0,6319442856709736985433.552841,0,6319.442856709736985433552841
16,71840,1930214461062950840980,6395827349730222250224,-3184218553955379187088,350212414657313633800733,1317.697038332459754729074237,1317.697038332459754729074237,1319.015328492610783649266360,1317.697038332459754729074237,1319.015328492610783649266360,0,6357643703575642177893.873007,0,6357.643703575642177893873007
17,71850,-136841053773884180692,357071930048202912704,-3321059607729263367780,350075573603539749620041,1319.015328492610783649266360,1319.015328492610783649266360,1320.334937536310758172975544,1319.015328492610783649266360,1320.334937536310758172975544,0,6358337750379505592516.310183,0,6358.337750379505592516310183
18,71860,1918978210688857345838,2263572893652304094372,-1402081397040406021942,351994551814228606965879,1320.334937536310758172975544,1320.334937536310758172975544,1321.655866783036883136556580,1320.334937536310758172975544,1321.655866783036883136556580,0,6396388921496161139725.574358,0,6396.388921496161139725574358
19,71870,-30420266415930637073,318942958305340272323,-1432501663456336659015,351964131547812676328806,1321.655866783036883136556580,1321.655866783036883136556580,1322.978117553586434504307766,1321.655866783036883136556580,1322.978117553586434504307766,0,6399034686973120028478.147496,0,6399.034686973120028478147496
20,71880,-58897479204861179258759,58919461588566808979211,-60329980868317515917774,293066652342951497070047,1322.978117553586434504307766,1322.978117553586434504307766,1324.301691170078080033789295,1322.978117553586434504307766,1324.301691170078080033789295,0,5330888477403969127839.427396,0,5330.888477403969127839427396
21,71890,26466250129602786694996,89430473124623250512868,-33863730738714729222778,319532902472554283765043,1324.301691170078080033789295,1324.301691170078080033789295,1325.626588955953201262401422,1324.301691170078080033789295,1325.626588955953201262401422,0,5815216851893750519353.358694,0,5815.216851893750519353358694
22,71900,-28122429684242023403458,89715103844904778061604,-61986160422956752626236,291410472788312260361585,1325.626588955953201262401422,1325.626588955953201262401422,1326.952812235977216816544252,1325.626588955953201262401422,1326.952812235977216816544252,0,5306065685511344554283.321991,0,5306.065685511344554283321991
23,71910,39314572766191828906057,78585487975556411471343,-22671587656764923720179,330725045554504089267642,1326.952812235977216816544252,1326.952812235977216816544252,1328.280362336240907044682349,1326.952812235977216816544252,1328.280362336240907044682349,0,6024925592641765359096.315329,0,6024.925592641765359096315329
24,71920,18334220721696668196701,18334220721696668196701,-4337366935068255523478,349059266276200757464343,1328.280362336240907044682349,1328.280362336240907044682349,1329.609240584161739975638639,1328.280362336240907044682349,1329.609240584161739975638639,0,6362106146477159480084.261022,0,6362.106146477159480084261022
25,71930,-50849917174994414348,56091871947220765430,-4388216852243249937826,349008416359025763049995,1329.609240584161739975638639,1329.609240584161739975638639,1330.939448308485198603443463,1329.609240584161739975638639,1330.939448308485198603443463,0,6364360559598167809960.500294,0,6364.360559598167809960500294
